Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Tests),Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Severity),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Verify if user can delete the account.,MAG-51,17446,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,23/Apr/24 11:38 AM,23/Apr/24 7:20 PM,12/Jul/24 9:16 PM,23/Apr/24 11:38 AM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

The user is not logged in.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-2,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61429954,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:038d,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_911_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,23/Apr/24 11:38 AM
Verify if user can check privacy & cookie policy from “policy” section.,MAG-50,16618,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 1:45 PM,23/Apr/24 1:43 PM,12/Jul/24 9:16 PM,15/Mar/24 1:49 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Policy"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f21ade8,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzzzi,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_235207_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:49 PM
Verify if you can check return policy from “policy” section.,MAG-49,16617,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 1:43 PM,23/Apr/24 1:43 PM,12/Jul/24 9:16 PM,15/Mar/24 1:49 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Policy"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d50359c,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzzz,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_344409_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:49 PM
Verify if user can check  shipping info from “policy” section.,MAG-48,16616,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 12:51 PM,23/Apr/24 1:42 PM,12/Jul/24 9:16 PM,15/Mar/24 1:41 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Policy"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55e2e02e,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzzy,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_2989576_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:41 PM
 Verify if user can check contact preferences from “other services” section.,MAG-47,16615,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 12:49 PM,23/Apr/24 1:42 PM,12/Jul/24 9:16 PM,15/Mar/24 1:41 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Other services"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@745f3c1c,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzzx,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_3106853_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:41 PM
Verify if user can check &use share&earn from “other services” section.,MAG-46,16614,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 12:46 PM,23/Apr/24 1:42 PM,12/Jul/24 9:16 PM,15/Mar/24 1:41 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Other services"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@45e296e1,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzzv,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_3250242_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:41 PM
Verify if user can check survey center from “other services” section.,MAG-45,16613,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 12:45 PM,23/Apr/24 1:41 PM,12/Jul/24 9:16 PM,15/Mar/24 1:40 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Other services"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78f7c996,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzzr,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_3328660_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:40 PM
Verify if user can check free trial center from from “other services” section.,MAG-44,16612,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 12:39 PM,23/Apr/24 1:41 PM,12/Jul/24 9:16 PM,15/Mar/24 1:40 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Other services"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39ac60d9,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzzi,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_3685340_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:40 PM
Verify if user can check & use service records from “customer service” section.,MAG-43,16611,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 12:35 PM,23/Apr/24 1:41 PM,12/Jul/24 9:16 PM,15/Mar/24 1:40 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Customer service"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@218d8a15,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzz,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_3929731_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:40 PM
"Verify if user can check ""my message"" from “customer service” section.",MAG-42,16610,Test,Done,MAG,Mihăilă_Alexandra_Georgiana_ST1,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,15/Mar/24 12:29 PM,23/Apr/24 1:40 PM,12/Jul/24 9:16 PM,15/Mar/24 1:40 PM,,0,"Preconditions:

Access the Shein website : [https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|https://euqs.shein.com/?ref=www&rep=dir&ret=euqs|smart-link] 

Click on the ""Sign In/Register "" icon located in upper right corner of the page to navigate to the user login page.

On ""Personal Center"" page click on ""Customer service"" section.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,,MAG-4,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e8ad637,,,,,,,,,,,,MAG-1,Shein Account management,,,,,,,,,,,,,,,,0|i00xpv:03azzzzy,,,,,,,,,,MAG Sprint 1,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_4244056_*|*_10001_*:*_1_*:*_0,16416,Shein Account management,Done,15/Mar/24 1:40 PM
